Shift 25,Shift 25,Shift 26,Shift 26,Shift 27,Shift 27,Shift 28,Shift 28,Shift 29,Shift 29,Shift 30,Shift 30,Shift 31,Shift 31,Shift 32,Shift 32,Shift 33,Shift 33,Shift 34,Shift 34,Shift 35,Shift 35,Shift 36,Shift 36,Shift 37,Shift 37,Shift 38,Shift 38,Shift 39,Shift 39,Shift 40,Shift 40,Shift 41,Shift 41,Shift 42,Shift 42,Shift 43,Shift 43,Shift 44,Shift 44,Shift 45,Shift 45,Shift 46,Shift 46,Shift 47,Shift 47,Shift 48,Shift 48,Shift 49,Shift 49,Shift 50,Shift 50,Shift 51,Shift 51,Shift 52,Shift 52,Shift 53,Shift 53,Shift 54,Shift 54,Shift 55,Shift 55,Shift 56,Shift 56,Shift 57,Shift 57,Shift 58,Shift 58,Shift 59,Shift 59,Shift 60,Shift 60,Shift 61,Shift 61,Shift 62,Shift 62,Shift 63,Shift 63,Shift 64,Shift 64,Shift 65,Shift 65,Shift 66,Shift 66,Shift 67,Shift 67,Shift 68,Shift 68,Shift 69,Shift 69,Shift 70,Shift 70,Shift 71,Shift 71,Shift 72,Shift 72,Shift 73,Shift 73,Shift 74,Shift 74,Shift 75,Shift 75,Shift 76,Shift 76,Shift 77,Shift 77,Shift 78,Shift 78,Shift 79,Shift 79,Shift 80,Shift 80,Shift 81,Shift 81,Shift 82,Shift 82,Shift 83,Shift 83,Shift 84,Shift 84,Shift 85,Shift 85,Shift 86,Shift 86,Shift 87,Shift 87,Shift 88,Shift 88,Shift 89,Shift 89,Shift 90,Shift 90,Shift 91,Shift 91,Shift 92,Shift 92,Shift 93,Shift 93,Shift 94,Shift 94,Shift 95,Shift 95,Shift 96,Shift 96,Shift 97,Shift 97,Shift 98,Shift 98,Shift 99,Shift 99
578763,309617,618675,301335,625292,306893,596912,306868,592506,302038,615960,298552,581784,292064,580987,300516,571380,289259,571380,289259,572174,279933,570609,285733,562420,321258,588210,299359,584702,284998,547637,306250,577554,276564,546819,285897,559007,262070,565497,278011,540585,295240,538814,277064,530641,281715,529867,280529,533311,306653,542353,289364,512846,303309,516001,315054,533836,299709,510940,293335,507365,286534,511828,288315,502012,287028,498964,296748,495284,281184,489906,280264,487932,276160,487236,286864,503998,278904,480617,281018,360854,220785,358091,221120,363732,228511,373458,206404,339938,242781,345732,234611,351420,219625,335980,231751,345209,230568,344992,235368,342482,213445,358916,231658,337577,219028,353716,241757,335813,210195,336924,232418,349270,227842,331181,220779,331772,225479,330291,218862,327803,228467,323230,227977,321575,209488,309978,220975,318899,197144,311646,223491,315366,214674,310615,222145,314514,219560,309868,225967,308586,207366,302964,217380,307072,224325,304363,231584,306774,200742
580804,302077,632257,312919,624460,289245,591208,311912,594374,289274,607511,302273,583913,301318,585457,307698,580325,286186,580325,286186,591966,279998,568341,290278,576571,297335,586786,282845,574532,279937,578446,290159,578726,307854,544571,282606,573368,283612,565553,277543,542392,296704,534992,295170,531925,298092,527800,281192,533056,306328,550735,298416,514138,285241,494248,265902,538082,280192,506380,280946,482143,296743,524413,272195,513171,281534,498449,283923,496524,274499,491472,282876,493159,281155,487165,284479,503967,267440,477695,252090,359710,236708,359533,220752,354994,203127,376719,235871,342951,226002,354084,221715,350754,215821,331387,221863,348492,213588,342969,226082,341919,234498,357828,206879,343160,230423,353818,203619,348414,225193,336581,208126,351153,228799,333471,239172,330572,212820,330794,207610,326904,212468,325292,219379,320229,216801,306374,227810,319428,222523,313706,223756,314004,221930,311749,206591,314140,212065,318144,225488,306720,226949,309596,223910,302025,209945,305260,220315,306909,228161
580549,308085,626481,293345,626522,293341,585308,299498,599247,315959,610989,282713,588728,309865,586297,301778,576066,304681,576066,304681,600435,288870,569572,292351,595746,320004,587488,280719,583819,285851,562043,278705,579177,295616,547281,300227,574664,296794,566335,289084,542369,291182,517274,304636,535098,290063,526164,294485,528954,292744,547738,289295,519488,288018,511366,308997,532770,281151,514495,293889,483968,283915,523797,284986,524339,282371,494702,276063,494906,288770,491334,282702,506441,291695,485519,292896,499976,266404,477695,271254,354008,226587,357334,246940,356099,229555,370960,240037,340308,234963,357086,224098,348640,236912,330837,244727,347482,234612,345002,208808,343103,213301,357342,245508,341171,206674,354646,239108,352500,222297,335236,207865,349031,216458,327183,231878,330274,226365,329484,222015,315433,213458,325463,205573,321212,214697,302298,228596,314184,212938,320045,221978,315619,216556,309589,214807,315784,223441,309789,226650,309381,205799,310952,232579,309149,205898,307952,214534,302613,205317
578665,295445,622608,283930,591352,268194,596895,301904,594862,318927,613716,296208,584495,289968,598047,304866,576086,293554,576086,293554,594734,297435,566696,291952,577632,297522,583288,283833,588467,304023,575920,301403,583550,294831,552868,296060,568683,305803,568338,288325,547395,299324,514361,314154,536520,296652,531651,285690,521585,278529,544588,295676,514402,304532,514713,268443,538289,285328,508915,286415,491489,304498,523660,280816,515440,271668,494494,276618,494671,275034,489015,282413,512630,273729,482917,264939,499046,279377,477729,277150,339825,222882,362342,217699,356837,225684,370992,210210,337762,215312,348429,226052,351083,191895,336628,240523,350294,217197,348443,218984,345896,222499,356862,203250,338075,247492,349950,222393,358113,230769,334824,224460,347927,220437,332197,220836,329519,226350,337126,213691,312709,211765,324876,217627,320923,239478,302936,214470,319310,224265,309867,211889,310724,208338,302584,222747,312927,225952,308421,202914,310368,199325,311436,213419,310928,200888,302061,213062,303529,210935
576297,301442,627935,303126,621655,306085,593962,288040,590927,308115,610797,284281,584911,311217,616762,297522,569849,318679,569849,318679,600947,295954,575086,284976,587681,306267,584557,289868,580722,302929,581428,292526,574948,297907,545521,287663,567809,280481,568236,297466,562979,304608,511914,283642,536044,300298,527636,285677,530889,277000,546956,299348,515859,284909,518513,294744,534718,294464,511618,307305,480799,296349,530985,284460,521780,295236,501397,285787,497345,271101,494936,297669,509604,277849,482865,291937,500339,266494,480532,274053,348511,227388,362959,233852,372450,230943,375189,241408,337030,224989,334803,234203,348843,209571,334599,204077,342708,218717,346824,238963,344656,213871,356388,242102,340069,226346,355638,219555,352547,205841,335237,224744,351898,213768,329674,224136,328211,199830,328594,208085,314803,223961,324969,228703,322399,208629,309187,203523,324868,226657,319806,212574,312548,220030,300853,228739,310973,217070,311200,211001,311290,220838,306758,235597,307450,217773,313896,212164,304695,211110
572823,301837,628449,302834,620857,296816,593097,321481,590771,294117,615044,297409,588343,304205,611057,298355,573409,294922,573409,294922,593035,299735,568979,312437,583648,286445,582362,294029,584701,299389,571044,285956,577110,300624,551378,289952,565514,281616,566726,283322,560288,288730,511451,321558,534053,287778,533417,304311,529028,302679,548021,303700,518266,276959,510739,271373,532784,291110,507991,286324,485947,277805,525811,270918,519760,286030,496238,285845,494640,283220,490966,269203,514355,272984,491802,292128,501890,270180,484638,274784,345781,239973,360878,231641,376141,205223,372185,206857,340485,221301,340586,219566,350779,233103,336151,216993,348281,218421,346138,214628,343769,224165,359171,205099,340361,206796,354142,209387,357748,214514,335804,212071,350548,214696,331932,230431,328635,215510,325043,218409,312851,242120,312023,229350,319431,219976,306720,196912,319417,218494,320591,208508,316574,202172,298694,207740,311370,222996,313916,232616,311994,199747,307670,204558,306928,221224,301457,194632,305646,226612
578350,297697,618279,287064,628691,292459,597733,318341,594536,294117,613352,308492,588813,300965,607333,285981,579443,305129,579443,305129,592074,290929,569580,288163,585294,292141,589004,302783,588831,297383,576219,287781,573893,297547,548258,296100,571736,284570,571061,287119,564375,289042,509528,300705,534536,280380,531331,290068,525636,285041,540633,301496,519757,290393,516767,310925,535559,280631,512805,285258,492042,297506,524412,267572,520499,284311,499107,300969,497511,273575,492961,274932,506894,252254,485908,277472,499738,295273,473263,260679,350237,241780,354778,222318,377980,210175,366971,232307,342619,249462,336230,242234,347482,236193,334297,237577,347159,213822,343200,238178,348162,230949,357821,232862,340398,228619,350581,213828,345011,213333,335245,228444,344747,203249,329180,213444,331035,229187,325628,231661,312772,218346,312659,238982,319834,228762,306295,209027,321906,231344,314600,213356,309353,202467,304698,220615,311814,204125,310423,208620,312088,221674,312543,227663,307542,199661,305521,213643,303148,227234
580751,312703,635697,315095,627397,295641,593558,301829,596633,317942,610282,295057,577532,313432,606226,295191,582775,310061,582775,310061,599085,303234,568753,304652,606599,297010,593750,298178,601185,288331,577015,279145,580522,305006,550847,315463,566553,278699,565262,295231,563090,301448,509880,301051,537632,311101,530121,279855,545692,286935,540138,280928,520732,309780,518456,281158,538027,275585,503022,272714,489242,281960,525365,278606,542489,273462,498744,289477,493048,285244,492341,275980,513262,285492,489592,280464,499555,265344,478386,296075,344756,220172,361246,240246,372586,236523,368904,214676,340829,242696,334443,221036,349742,204222,328735,212071,351272,237478,348678,218528,350309,226432,360369,206630,346220,237844,350238,206886,350931,205742,330228,241163,352272,213259,330810,215599,325329,223682,329183,218289,312405,226645,307964,231278,325133,230710,307520,205713,321608,227546,319563,248042,313949,212978,302103,212952,314000,202287,312351,219183,311738,213167,305805,212705,302793,201003,307533,232150,309551,233407
570873,304759,628513,304413,628675,312978,598118,293039,590961,297337,610726,296460,591737,312940,608444,297057,579808,312961,579808,312961,601246,282497,563895,307223,610135,293459,581688,295382,611636,287489,568620,296940,576945,292519,547327,293154,572413,307220,568227,305377,567377,280181,514096,301891,536565,283406,529417,291922,551217,279097,546722,301862,517634,276479,519301,295431,532812,275302,514202,300712,487611,286292,523153,297954,546504,267099,493637,289552,496244,299528,490333,298860,508296,260687,508408,288160,500813,270261,466098,250295,336311,239621,364198,226973,373882,213719,372824,229547,339385,235111,342603,235733,352058,231556,332584,237108,345107,226496,349492,230861,345845,205398,359540,233318,341760,224700,358099,213009,354435,223248,334808,201833,347881,214486,332165,246701,331928,204356,328464,220198,329025,218636,305308,215826,321835,222666,304791,201765,321058,236514,316061,203478,318780,224460,305641,223120,312183,206198,309174,209164,310863,218537,307697,204297,306334,222703,290468,232141,307530,209234
582463,302581,647413,308590,623987,292059,587721,306713,591575,320556,618586,291328,605843,305629,605543,295892,571937,300449,571937,300449,594427,299920,565241,291852,604032,283901,586857,293026,604525,282150,573813,295604,578693,298187,547410,290744,591069,271464,555272,289293,565781,303677,510998,287767,529433,283865,532164,295239,551057,287871,541558,278093,514666,284566,518675,294438,530660,286049,525211,283698,480276,279087,523706,279779,543383,280999,498931,282089,498352,278987,490166,284644,516400,295786,507745,279396,503585,272768,478134,264183,344693,252482,356808,220371,367386,224073,371081,226383,339121,231553,339466,237104,347782,222842,333032,229649,346879,209742,349016,211533,321468,198462,356786,206115,339901,217995,352237,215434,350482,200277,331686,217005,349930,214145,330961,215913,334543,220012,329099,208405,321837,211660,310005,200294,321283,230000,308303,210191,315671,201939,323164,208067,316268,230409,303739,217986,315358,215149,311627,216856,311698,224313,307935,211929,323113,210694,294126,226307,304687,199435
